,equity
2021-05-28 00:00:00+00:00,10969.821102971822
2021-05-31 00:00:00+00:00,10969.821102971822
2021-06-01 00:00:00+00:00,10969.821102971822
2021-06-02 00:00:00+00:00,10969.821102971822
2021-06-03 00:00:00+00:00,10878.049087537962
2021-06-04 00:00:00+00:00,10878.049087537962
2021-06-07 00:00:00+00:00,10861.601459378786
2021-06-08 00:00:00+00:00,10861.601459378786
2021-06-09 00:00:00+00:00,10861.601459378786
2021-06-10 00:00:00+00:00,10869.838454255798
2021-06-11 00:00:00+00:00,10869.838454255798
2021-06-14 00:00:00+00:00,10869.838454255798
2021-06-15 00:00:00+00:00,10787.116800323993
2021-06-16 00:00:00+00:00,10787.116800323993
2021-06-17 00:00:00+00:00,10897.570752160718
2021-06-18 00:00:00+00:00,10897.570752160718
2021-06-21 00:00:00+00:00,10897.570752160718
2021-06-22 00:00:00+00:00,10897.570752160718
2021-06-23 00:00:00+00:00,10897.570752160718
2021-06-24 00:00:00+00:00,10897.570752160718
2021-06-25 00:00:00+00:00,10897.570752160718
2021-06-28 00:00:00+00:00,10897.570752160718
2021-06-29 00:00:00+00:00,10897.570752160718
2021-06-30 00:00:00+00:00,10897.570752160718
2021-07-01 00:00:00+00:00,11104.673019802094
2021-07-02 00:00:00+00:00,11132.690324819347
2021-07-05 00:00:00+00:00,11132.690324819347
2021-07-06 00:00:00+00:00,11132.690324819347
2021-07-07 00:00:00+00:00,11132.690324819347
2021-07-08 00:00:00+00:00,11132.690324819347
2021-07-09 00:00:00+00:00,11132.690324819347
2021-07-12 00:00:00+00:00,11132.690324819347
2021-07-13 00:00:00+00:00,11132.690324819347
2021-07-14 00:00:00+00:00,11132.690324819347
2021-07-15 00:00:00+00:00,11132.690324819347
2021-07-16 00:00:00+00:00,11184.772715380892
2021-07-19 00:00:00+00:00,11217.285268333411
2021-07-20 00:00:00+00:00,11269.980743851676
2021-07-21 00:00:00+00:00,11269.980743851676
2021-07-22 00:00:00+00:00,11269.464222378285
2021-07-23 00:00:00+00:00,11269.464222378285
2021-07-26 00:00:00+00:00,11269.464222378285
2021-07-27 00:00:00+00:00,11269.464222378285
2021-07-28 00:00:00+00:00,11269.464222378285
2021-07-29 00:00:00+00:00,11269.464222378285
2021-07-30 00:00:00+00:00,11269.464222378285
2021-08-02 00:00:00+00:00,11306.784550307093
2021-08-03 00:00:00+00:00,11306.784550307093
2021-08-04 00:00:00+00:00,11306.784550307093
2021-08-05 00:00:00+00:00,11289.116423595673
2021-08-06 00:00:00+00:00,11289.116423595673
2021-08-09 00:00:00+00:00,11289.116423595673
2021-08-10 00:00:00+00:00,11289.116423595673
2021-08-11 00:00:00+00:00,11289.116423595673
2021-08-12 00:00:00+00:00,11289.116423595673
2021-08-13 00:00:00+00:00,11194.870398772866
2021-08-16 00:00:00+00:00,11175.653626135134
2021-08-17 00:00:00+00:00,11313.945353755224
2021-08-18 00:00:00+00:00,11313.945353755224
2021-08-19 00:00:00+00:00,11366.854749883085
2021-08-20 00:00:00+00:00,11366.854749883085
2021-08-23 00:00:00+00:00,11366.854749883085
2021-08-24 00:00:00+00:00,11270.73516521113
2021-08-25 00:00:00+00:00,11270.73516521113
2021-08-26 00:00:00+00:00,11270.73516521113
2021-08-27 00:00:00+00:00,11270.73516521113
2021-08-30 00:00:00+00:00,11270.73516521113
2021-08-31 00:00:00+00:00,11270.73516521113
2021-09-01 00:00:00+00:00,11270.73516521113
2021-09-02 00:00:00+00:00,11270.73516521113
2021-09-03 00:00:00+00:00,11270.228488620714
