date,open,high,low,close,volume
2023-04-28 00:00:00,1.10315,1.10394,1.10125,1.10194,49294.95
2023-04-28 04:00:00,1.10193,1.10363,1.09938,1.10085,90900.5
2023-04-28 08:00:00,1.10085,1.10094,1.09723,1.09737,76003.49
2023-04-28 12:00:00,1.09736,1.10449,1.09624,1.10394,149192.94
2023-04-28 16:00:00,1.10394,1.10406,1.10119,1.10193,43893.92
2023-04-28 20:00:00,1.10194,1.10201,1.10139,1.10144,4366.11
2023-04-30 20:00:00,1.1024,1.1027,1.101,1.10105,12342.8
2023-05-01 00:00:00,1.10106,1.10143,1.10007,1.1014,23199.58
2023-05-01 04:00:00,1.10143,1.10143,1.09947,1.10033,35817.12
2023-05-01 08:00:00,1.10033,1.1014,1.09882,1.10133,35219.68
2023-05-01 12:00:00,1.10134,1.10355,1.09661,1.09692,103266.2
2023-05-01 16:00:00,1.09692,1.09756,1.09643,1.09727,37714.93
2023-05-01 20:00:00,1.09727,1.09766,1.09672,1.09687,10553.94
2023-05-02 00:00:00,1.09687,1.09943,1.09685,1.09839,33244.32
2023-05-02 04:00:00,1.0984,1.10066,1.0979,1.09855,64994.19
2023-05-02 08:00:00,1.09855,1.09865,1.0948,1.09676,82176.44
2023-05-02 12:00:00,1.09676,1.09975,1.09422,1.09965,125551.79
2023-05-02 16:00:00,1.09964,1.10078,1.0994,1.10057,37008.94
2023-05-02 20:00:00,1.10057,1.10137,1.09975,1.10107,11518.17
2023-05-03 00:00:00,1.1011,1.10297,1.10048,1.10294,23833.66
2023-05-03 04:00:00,1.10294,1.10411,1.10142,1.10343,47870.78
2023-05-03 08:00:00,1.10344,1.10468,1.10296,1.10395,61043.0
2023-05-03 12:00:00,1.10396,1.10593,1.1022,1.10478,99789.41
2023-05-03 16:00:00,1.10478,1.10916,1.10371,1.10544,146247.3
2023-05-03 20:00:00,1.10544,1.1078,1.10515,1.10685,27764.48
2023-05-04 00:00:00,1.10686,1.10875,1.10686,1.10812,47551.27
2023-05-04 04:00:00,1.10812,1.10917,1.10521,1.10578,69411.35
2023-05-04 08:00:00,1.10578,1.10765,1.10364,1.10743,70887.13
2023-05-04 12:00:00,1.10743,1.10842,1.0986,1.10082,199386.1
2023-05-04 16:00:00,1.10083,1.10315,1.10079,1.10146,52517.22
2023-05-04 20:00:00,1.10145,1.10244,1.10095,1.10229,11979.53
2023-05-05 00:00:00,1.10229,1.10444,1.10188,1.10439,29628.3
2023-05-05 04:00:00,1.10441,1.10477,1.10256,1.10267,56550.14
2023-05-05 08:00:00,1.10268,1.10319,1.10085,1.10093,52852.78
2023-05-05 12:00:00,1.10092,1.10267,1.09667,1.10245,139511.6
2023-05-05 16:00:00,1.10246,1.10365,1.10096,1.10182,47614.81
2023-05-05 20:00:00,1.10183,1.10197,1.10154,1.10162,5658.8
2023-05-07 20:00:00,1.10209,1.10228,1.10141,1.10181,11067.47
2023-05-08 00:00:00,1.10182,1.10399,1.10167,1.1039,33174.18
2023-05-08 04:00:00,1.1039,1.10505,1.10366,1.10492,41070.24
2023-05-08 08:00:00,1.10491,1.10535,1.10227,1.1035,57616.88
2023-05-08 12:00:00,1.10349,1.10442,1.10115,1.10196,71284.83
2023-05-08 16:00:00,1.10197,1.10292,1.10001,1.10017,33049.17
2023-05-08 20:00:00,1.10016,1.10054,1.09953,1.09965,12188.97
2023-05-09 00:00:00,1.09962,1.09974,1.09849,1.09936,31898.15
2023-05-09 04:00:00,1.09939,1.10007,1.09727,1.09779,54967.05
2023-05-09 08:00:00,1.0978,1.09862,1.0959,1.09635,57479.37
2023-05-09 12:00:00,1.09635,1.09671,1.0941,1.09527,81491.54
2023-05-09 16:00:00,1.09527,1.09724,1.09492,1.09627,39660.24
2023-05-09 20:00:00,1.09627,1.09688,1.09468,1.09645,11482.55
2023-05-10 00:00:00,1.09644,1.09772,1.09644,1.09761,23416.23
2023-05-10 04:00:00,1.0976,1.09824,1.09623,1.09646,46848.11
2023-05-10 08:00:00,1.09646,1.09647,1.09458,1.0949,61244.41
2023-05-10 12:00:00,1.09489,1.10068,1.09414,1.09651,135767.74
2023-05-10 16:00:00,1.09652,1.09848,1.09616,1.09824,41794.47
2023-05-10 20:00:00,1.09823,1.0987,1.09794,1.09824,12929.35
2023-05-11 00:00:00,1.09826,1.09981,1.09735,1.09744,37615.16
2023-05-11 04:00:00,1.09744,1.09822,1.09241,1.093,66340.89
2023-05-11 08:00:00,1.093,1.09382,1.0918,1.09315,82003.29
2023-05-11 12:00:00,1.09315,1.09481,1.09,1.09155,134433.99
2023-05-11 16:00:00,1.09155,1.0929,1.09106,1.0917,35999.78
2023-05-11 20:00:00,1.09169,1.09199,1.09115,1.09122,10467.06
2023-05-12 00:00:00,1.09122,1.09252,1.09122,1.09222,28706.63
2023-05-12 04:00:00,1.09221,1.09354,1.09061,1.09076,52219.77
2023-05-12 08:00:00,1.09076,1.09172,1.08891,1.08919,55676.69
2023-05-12 12:00:00,1.08919,1.08973,1.08542,1.08555,92915.01
2023-05-12 16:00:00,1.08553,1.08569,1.08484,1.08517,35672.65
2023-05-12 20:00:00,1.08519,1.08521,1.08476,1.08477,4592.6
2023-05-14 20:00:00,1.0861,1.08618,1.08453,1.08527,7661.46
2023-05-15 00:00:00,1.08526,1.08643,1.0848,1.08599,37776.13
2023-05-15 04:00:00,1.08598,1.08771,1.08572,1.08739,47425.62
2023-05-15 08:00:00,1.08738,1.08805,1.08554,1.08775,51868.47
2023-05-15 12:00:00,1.08775,1.08908,1.08639,1.08732,83412.34
2023-05-15 16:00:00,1.08732,1.08788,1.08676,1.0875,31960.4
2023-05-15 20:00:00,1.08749,1.08772,1.08727,1.08735,14002.86
2023-05-16 00:00:00,1.08736,1.08845,1.08682,1.08824,33484.68
2023-05-16 04:00:00,1.08823,1.08945,1.08628,1.08884,60304.63
2023-05-16 08:00:00,1.08884,1.09046,1.0885,1.08868,62920.1
2023-05-16 12:00:00,1.08871,1.08896,1.0855,1.08645,117329.97
2023-05-16 16:00:00,1.08648,1.0872,1.0858,1.08628,41353.72
2023-05-16 20:00:00,1.08628,1.08655,1.08602,1.08653,12820.91
2023-05-17 00:00:00,1.08653,1.08736,1.08621,1.08654,41124.83
2023-05-17 04:00:00,1.08654,1.08676,1.08312,1.08317,54676.66
2023-05-17 08:00:00,1.08317,1.0848,1.08205,1.08251,69974.82
2023-05-17 12:00:00,1.08249,1.08389,1.08102,1.08292,106605.82
2023-05-17 16:00:00,1.08292,1.0849,1.08289,1.08397,45111.46
2023-05-17 20:00:00,1.08397,1.08444,1.08347,1.08378,10276.34
2023-05-18 00:00:00,1.08377,1.08479,1.08348,1.08398,37151.85
2023-05-18 04:00:00,1.08398,1.08404,1.08091,1.08161,51266.3
2023-05-18 08:00:00,1.08165,1.08221,1.08055,1.0815,62980.96
2023-05-18 12:00:00,1.0815,1.08178,1.07631,1.07752,107976.59
2023-05-18 16:00:00,1.07752,1.07811,1.07624,1.07739,44490.67
2023-05-18 20:00:00,1.0774,1.07767,1.07687,1.07749,11568.29
2023-05-19 00:00:00,1.07749,1.078,1.076,1.07683,46947.59
2023-05-19 04:00:00,1.07683,1.0792,1.07605,1.07774,56231.7
2023-05-19 08:00:00,1.07773,1.08091,1.07709,1.08085,76245.28
2023-05-19 12:00:00,1.08086,1.08265,1.07821,1.08189,119424.18
2023-05-19 16:00:00,1.08189,1.08287,1.07976,1.08059,53909.28
2023-05-19 20:00:00,1.08059,1.08082,1.08012,1.08019,5893.84
2023-05-21 20:00:00,1.08043,1.08241,1.08043,1.08218,8384.09
2023-05-22 00:00:00,1.08219,1.08298,1.08165,1.08208,51058.58
2023-05-22 04:00:00,1.08208,1.08241,1.07955,1.08068,60669.74
2023-05-22 08:00:00,1.08067,1.08294,1.0799,1.08217,64727.38
2023-05-22 12:00:00,1.08216,1.08313,1.07961,1.08051,100172.58
2023-05-22 16:00:00,1.08051,1.08216,1.08028,1.08112,40594.03
2023-05-22 20:00:00,1.08111,1.08147,1.08063,1.08104,19803.19
2023-05-23 00:00:00,1.08105,1.08204,1.08025,1.0808,40259.22
2023-05-23 04:00:00,1.08079,1.08129,1.07852,1.08034,60205.34
2023-05-23 08:00:00,1.08033,1.08079,1.07697,1.07727,61931.08
2023-05-23 12:00:00,1.07731,1.07954,1.07629,1.07707,113340.36
2023-05-23 16:00:00,1.07707,1.07807,1.07601,1.07674,42267.34
2023-05-23 20:00:00,1.07675,1.07735,1.07668,1.07691,12231.7125
2023-05-24 00:00:00,1.0769,1.07797,1.07676,1.07788,38483.9
2023-05-24 04:00:00,1.07787,1.07893,1.07702,1.07838,63254.14
2023-05-24 08:00:00,1.07839,1.07948,1.0748,1.07807,85753.11
2023-05-24 12:00:00,1.07807,1.08012,1.07546,1.07582,112993.2
2023-05-24 16:00:00,1.07584,1.07658,1.07494,1.07494,65713.03
2023-05-24 20:00:00,1.07494,1.07567,1.07421,1.07555,19252.51
2023-05-25 00:00:00,1.07556,1.07556,1.0736,1.07374,40539.52
2023-05-25 04:00:00,1.07374,1.07438,1.0714,1.07208,65585.64
